"funny","useful","user_cool","characters","user_average_stars","biz_review_count","user_useful","user_funny","biz_open","stars","date","biz_stars","words","user_review_count","cool"
0,0,0,1031,4.33,6,1,0,1,5,"2012-07-16",4,195,6,0
0,0,51,1333,4.17,6,147,27,1,2,"2011-04-23",3.5,271,212,0
0,1,0,313,2.4,77,4,0,1,2,"2012-06-11",4,61,5,0
7,6,1074,3285,3.71,9,1299,1105,0,1,"2009-06-18",3,612,350,5
0,3,3,492,3,79,10,0,1,2,"2011-03-18",3,96,5,0
0,2,121,374,3.57,72,233,57,1,3,"2010-01-03",4,60,117,0
0,0,0,117,5,74,0,0,1,5,"2011-09-10",4.5,20,1,0
0,1,32,48,3.92,24,73,39,0,3,"2008-12-27",3.5,7,90,0
10,10,3943,2233,3.74,291,4287,3969,1,4,"2009-08-16",4,400,417,11
0,2,0,141,4,11,7,0,1,3,"2011-04-07",3.5,27,5,0
0,2,0,558,0,3,0,0,1,5,"2011-12-22",5,102,0,1
2,1,66,509,4.02,67,137,79,1,5,"2008-05-11",4.5,98,55,1
1,2,175,645,3.76,16,238,48,1,2,"2012-11-29",3,111,127,1
2,0,0,761,0,349,0,0,1,1,"2011-09-17",4,137,0,0
0,1,2,449,4.5,56,7,0,0,5,"2010-07-08",4.5,77,2,1
0,0,0,217,4.83,144,6,1,1,5,"2011-02-16",4,37,7,0
0,0,0,710,4.3,109,0,0,1,5,"2011-10-24",4,130,10,0
0,3,336,68,3.45,14,564,308,1,5,"2009-06-29",4,11,190,1
0,3,0,1113,3.5,48,4,0,0,2,"2011-08-22",3,216,2,0
0,0,25,875,4.18,31,49,2,1,4,"2010-12-03",3.5,161,38,0
1,0,1,806,5,98,2,1,1,5,"2012-03-01",4,153,2,0
0,0,1,387,4.3,8,27,3,1,5,"2012-12-05",4,72,32,0
0,2,4,998,3.29,109,5,1,0,1,"2009-11-19",3.5,182,7,0
0,0,118,1572,3.66,80,245,87,1,5,"2009-07-06",4.5,289,425,0
0,1,3,107,3.55,271,13,3,1,5,"2012-07-07",4,23,22,0
0,0,11,643,3.43,4,75,11,0,5,"2011-07-18",5,109,28,0
0,0,1,620,3.83,357,0,0,1,5,"2010-02-24",4,125,6,1
0,3,0,1147,2.33,3,4,0,1,1,"2012-11-09",1,214,3,0
0,0,0,1005,0,264,0,0,1,2,"2011-09-24",4.5,186,0,0
0,0,19,269,3.72,105,125,26,1,5,"2011-11-16",4.5,50,138,0
0,3,451,971,4.06,30,521,260,1,3,"2008-04-11",3,184,163,3
0,0,1,759,4.5,129,2,0,1,4,"2012-09-09",4,133,4,0
0,0,2,1238,3.75,9,29,4,1,4,"2012-02-21",2.5,229,26,0
1,1,304,738,3.73,36,371,366,1,4,"2009-03-22",4,129,229,2
4,6,1875,194,3.39,90,2291,1860,1,3,"2012-04-05",3.5,30,186,5
0,0,2202,536,3.63,7,2575,1614,1,4,"2011-05-02",3,99,569,0
0,1,0,547,3,168,1,0,1,3,"2012-04-04",4,106,1,0
0,1,54,938,4.14,20,103,52,1,3,"2012-04-26",4,164,35,0
0,0,1,165,3.15,65,12,1,1,5,"2011-12-22",5,28,13,0
2,4,267,1347,3.6,26,384,243,1,2,"2012-05-02",2,264,286,1
0,0,23,1353,3.58,54,79,34,0,1,"2011-02-12",3.5,239,31,0
0,1,21,189,4.19,13,62,33,1,2,"2012-09-30",4,39,27,0
0,0,6,1803,3.44,135,9,19,0,3,"2009-10-15",4,326,18,0
0,2,35,1396,3.75,146,53,14,1,4,"2007-05-18",3,254,24,2
0,0,117,731,3.42,57,408,93,1,2,"2011-05-11",4,133,422,0
1,1,0,670,0,145,0,0,1,3,"2009-10-07",3.5,118,0,2
0,0,740,425,3.68,19,1175,651,1,3,"2009-11-15",4,74,518,0
0,0,14,415,3.94,25,36,11,1,3,"2010-10-15",3.5,78,51,0
2,2,24,134,3.97,3,35,12,1,3,"2010-12-05",3,25,29,1
0,1,3,2056,3.71,7,19,3,1,5,"2012-06-07",5,407,14,0
2,3,400,1994,3.69,333,656,291,1,5,"2011-05-15",4.5,371,308,3
0,0,0,103,0,144,0,0,1,4,"2011-06-26",4,19,0,1
0,0,30,662,3.86,461,107,24,1,5,"2010-11-02",4,124,102,0
2,5,2932,689,3.63,6,4148,2382,1,5,"2011-08-18",5,131,578,3
0,0,0,537,0,7,0,0,1,4,"2011-09-13",3.5,96,0,0
0,1,30,142,3.86,122,101,28,1,4,"2009-07-21",3.5,25,50,0
0,0,740,424,3.68,12,1175,651,1,4,"2010-01-01",4,79,518,0
0,0,0,222,3.75,19,14,0,1,3,"2011-11-03",4,38,9,0
3,5,46,1279,3.24,104,92,28,1,2,"2010-12-18",3.5,239,34,2
0,1,45,1806,3.79,358,63,67,1,5,"2012-03-19",4,326,33,0
0,0,6,773,3.46,11,25,10,1,5,"2011-09-02",3,138,29,0
0,0,0,28,0,121,0,0,1,5,"2012-12-30",3.5,5,0,0
2,1,436,309,3.84,18,574,346,1,3,"2011-12-22",4,55,124,1
0,3,16,860,3.48,56,32,10,1,3,"2007-05-30",3,181,25,0
1,1,5,284,3.17,162,33,3,0,5,"2012-12-13",4,58,6,1
1,4,27,1563,3.71,26,71,17,0,3,"2009-07-23",3.5,303,73,2
